"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol"
3904.75341830419,4.02417807492568,0.167943527364731,23.8945078606705,3.49308362431788e-126,5.81982662647602e-122,"204801","NLRP11"
528.733015515784,4.43202268027229,0.179985926985682,23.3650895333817,9.68166613744687e-121,8.06531197580011e-117,"976","ADGRE5"
1157.87910069588,4.81220318055289,0.202600326321046,23.0412214524473,1.80139588423224e-117,1.00043522757311e-113,"10763","NES"
567.473322882901,-3.49983383502401,0.161545912148802,-21.2846917897532,1.57378298487585e-100,6.55519957775411e-97,"431707","LHX8"
434.344108608413,3.57214997579953,0.18500182919607,18.8594721326344,2.45660206184862e-79,8.18588939049198e-76,"10382","TUBB4A"
426.58595867692,5.62784426685343,0.218985010272404,18.4144309343304,1.00641552302598e-75,2.79464817152263e-72,"5790","PTPRCAP"
1357.22717235121,2.6382090149094,0.145675448388914,18.0714346043937,5.35041773551974e-73,1.27347585559278e-69,"695","BTK"
461.600616847729,-3.2224836083573,0.180614011979326,-17.565179210577,4.55254291596182e-69,9.48123969035499e-66,"10020","GNE"
2407.97730165636,-2.66129567616238,0.177948414187577,-14.9416333381459,1.76593137176705e-50,3.26913139833454e-47,"2908","NR3C1"
542.478317002095,-6.17098345796568,0.225030812255095,-14.8869917374214,4.00383092019847e-50,6.67078269614266e-47,"4155","MBP"
659.078971321901,3.04779727920177,0.206176910441143,14.6891194509683,7.56909859858566e-49,1.14644319773669e-45,"1043","CD52"
1192.22518710227,-2.14861876075374,0.146990818283537,-14.5957257993221,2.99013448732749e-48,4.15155255778027e-45,"152789","JAKMIP1"
404.266956299959,-3.32598756383957,0.229694069329441,-14.2303827955997,5.93559756591642e-46,7.60715315736412e-43,"7410","VAV2"
230.009316891961,4.96829611970682,0.238116960415651,14.0929616282206,4.19589015127743e-45,4.99340898645953e-42,"101929397","LINC01518"
2023.05030159595,1.56288683686255,0.111127385124715,14.0589794270434,6.78577423933988e-45,7.53718564010946e-42,"2788","GNG7"
207.615000596612,-3.53676323818263,0.242295262341642,-13.7259451241801,7.09972369315166e-43,7.39303102822499e-40,"6383","SDC2"
441.910037118283,2.79284524923257,0.20504691951082,13.5151684561838,1.27264058034602e-41,1.24726262994971e-38,"340061","STING1"
3472.54673327453,1.81867116092537,0.134726137092719,13.4954994927988,1.66224765373653e-41,1.5385948977169e-38,"23654","PLXNB2"
